"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"193","000C",4879,14,56824,"2022-04-18 02:33:36.022",17436
"194","0010",3542,14,56824,"2022-04-18 02:33:36.022",270
"195","0021",42991,673,56824,"2022-04-18 02:33:36.022",3691893
"196","0022",23864,72,56824,"2022-04-18 02:33:36.022",177624
"197","0023",13520,83,56824,"2022-04-18 02:33:36.022",7174
"198","0024",19730,72,56824,"2022-04-18 02:33:36.022",48
"199","0025",29413,159,56824,"2022-04-18 02:33:36.022",16101
"200","0026",35639,106,56824,"2022-04-18 02:33:36.022",42797
"201","0027",42147,234,56824,"2022-04-18 02:33:36.022",4371281
"202","0028",24453,64,56824,"2022-04-18 02:33:36.022",48376
"203","0040",42801,223,56824,"2022-04-18 02:33:36.022",8060940
"204","0044",17242,11,56824,"2022-04-18 02:33:36.022",236081
"205","0047",7706,4,56824,"2022-04-18 02:33:36.022",5652
"206","0048",4351,3,56824,"2022-04-18 02:33:36.022",8405
"207","03DF",28368,11,56824,"2022-04-18 02:33:36.022",292227
"208","0001",31956,127,56828,"2022-04-18 03:35:16.006",38688
"209","0003",38005,103,56828,"2022-04-18 03:35:16.006",137555
"210","0004",20831,149,56828,"2022-04-18 03:35:16.006",16430
"211","0005",42314,69,56828,"2022-04-18 03:35:16.006",2112847
"212","0006",6243,55,56828,"2022-04-18 03:35:16.006",21469
"213","0009",40971,193,56828,"2022-04-18 03:35:16.006",15193351
"214","000A",5126,4,56828,"2022-04-18 03:35:16.006",7674
"215","000B",2134,14,56828,"2022-04-18 03:35:16.006",11044
"216","000C",4879,14,56828,"2022-04-18 03:35:16.006",16809
"217","0021",42991,673,56828,"2022-04-18 03:35:16.006",3889599
"218","0022",23864,72,56828,"2022-04-18 03:35:16.006",233338
"219","0023",13520,83,56828,"2022-04-18 03:35:16.006",7671
"220","0024",19730,72,56828,"2022-04-18 03:35:16.006",72
"221","0025",29413,159,56828,"2022-04-18 03:35:16.006",3456
"222","0026",35639,106,56828,"2022-04-18 03:35:16.006",44311
"223","0027",42147,234,56828,"2022-04-18 03:35:16.006",5268376
"224","0028",24453,64,56828,"2022-04-18 03:35:16.006",48519
"225","0040",42801,223,56828,"2022-04-18 03:35:16.006",8340452
"226","0044",17242,11,56828,"2022-04-18 03:35:16.006",246235
"227","0047",7706,4,56828,"2022-04-18 03:35:16.006",6957
"228","0048",4351,3,56828,"2022-04-18 03:35:16.006",8268
"229","03DF",28368,11,56828,"2022-04-18 03:35:16.006",320355
"230","0001",31956,127,56832,"2022-04-18 04:38:20.202",37033
"231","0003",38005,103,56832,"2022-04-18 04:38:20.202",161220
"232","0004",20831,149,56832,"2022-04-18 04:38:20.202",16390
"233","0005",42314,69,56832,"2022-04-18 04:38:20.202",2223434
"234","0006",6243,55,56832,"2022-04-18 04:38:20.202",21896
"235","0009",40972,193,56832,"2022-04-18 04:38:20.202",14364916
"236","000A",5126,4,56832,"2022-04-18 04:38:20.202",8719
"237","000B",2134,14,56832,"2022-04-18 04:38:20.202",8669
"238","000C",4879,14,56832,"2022-04-18 04:38:20.202",16949
"239","0010",3542,14,56832,"2022-04-18 04:38:20.202",84
"240","0021",42993,673,56832,"2022-04-18 04:38:20.202",4157167
"241","0022",23891,72,56832,"2022-04-18 04:38:20.202",104275
"242","0023",13520,83,56832,"2022-04-18 04:38:20.202",2987
"243","0024",19730,72,56832,"2022-04-18 04:38:20.202",3121
"244","0025",29413,159,56832,"2022-04-18 04:38:20.202",14058
"245","0026",35640,106,56832,"2022-04-18 04:38:20.202",42606
"246","0027",42147,234,56832,"2022-04-18 04:38:20.202",7385003
"247","0028",24480,64,56832,"2022-04-18 04:38:20.202",52759
"248","0040",42802,223,56832,"2022-04-18 04:38:20.202",9055901
"249","0044",17245,11,56832,"2022-04-18 04:38:20.202",234423
"250","0047",7706,4,56832,"2022-04-18 04:38:20.202",8410
"251","0048",4351,3,56832,"2022-04-18 04:38:20.202",8725
"252","03DF",28368,11,56832,"2022-04-18 04:38:20.202",341980
"253","0001",31956,127,56836,"2022-04-18 05:38:05.968",34099
"254","0003",38005,103,56836,"2022-04-18 05:38:05.968",132081
"255","0004",20833,149,56836,"2022-04-18 05:38:05.968",16813
"256","0005",42314,69,56836,"2022-04-18 05:38:05.968",1704598
"257","0006",6243,55,56836,"2022-04-18 05:38:05.968",17745
"258","0009",40972,193,56836,"2022-04-18 05:38:05.968",15524949
"259","000A",5126,4,56836,"2022-04-18 05:38:05.968",226
"260","000B",2134,14,56836,"2022-04-18 05:38:05.968",7549
"261","000C",4879,14,56836,"2022-04-18 05:38:05.968",17605
"262","0010",3542,14,56836,"2022-04-18 05:38:05.968",308
"263","0021",42993,673,56836,"2022-04-18 05:38:05.968",3753919
"264","0022",23891,72,56836,"2022-04-18 05:38:05.968",247383
"265","0023",13520,83,56836,"2022-04-18 05:38:05.968",7346
"266","0024",19730,72,56836,"2022-04-18 05:38:05.968",212
"267","0025",29413,159,56836,"2022-04-18 05:38:05.968",15605
"268","0026",35640,106,56836,"2022-04-18 05:38:05.968",44235
"269","0027",42147,234,56836,"2022-04-18 05:38:05.968",4387359
"270","0028",24480,64,56836,"2022-04-18 05:38:05.968",55299
"271","0040",42802,223,56836,"2022-04-18 05:38:05.968",8617522
"272","0044",17245,11,56836,"2022-04-18 05:38:05.968",277845
"273","0047",7706,4,56836,"2022-04-18 05:38:05.968",5974
"274","0048",4351,3,56836,"2022-04-18 05:38:05.968",8863
"275","03DF",28368,11,56836,"2022-04-18 05:38:05.968",307628
"276","0001",31956,127,56840,"2022-04-18 06:36:31.910",36269
"277","0003",38005,103,56840,"2022-04-18 06:36:31.910",166194
"278","0004",20833,149,56840,"2022-04-18 06:36:31.910",16447
"279","0005",42315,69,56840,"2022-04-18 06:36:31.910",1584644
"280","0006",6243,55,56840,"2022-04-18 06:36:31.910",21349
"281","0009",40975,193,56840,"2022-04-18 06:36:31.910",15237032
"282","000A",5126,4,56840,"2022-04-18 06:36:31.910",448
"283","000B",2134,14,56840,"2022-04-18 06:36:31.910",9336
"284","000C",4879,14,56840,"2022-04-18 06:36:31.910",17906
"285","0010",3542,14,56840,"2022-04-18 06:36:31.910",270
"286","0021",42994,673,56840,"2022-04-18 06:36:31.910",3452306
"287","0022",23891,72,56840,"2022-04-18 06:36:31.910",86095
"288","0023",13520,83,56840,"2022-04-18 06:36:31.910",11065
"289","0024",19730,72,56840,"2022-04-18 06:36:31.910",177
"290","0025",29413,159,56840,"2022-04-18 06:36:31.910",13428
